,x_cv_ascertainment,x_cv_diagnostic_criteria,x_cv_representative,x_sex
4,1,1,0,0.0
5,0,0,0,0.0
6,0,0,0,0.0
7,0,0,0,0.0
8,0,0,0,0.0
9,0,0,0,0.0
10,1,0,0,0.0
18,0,0,0,-0.5
19,0,0,0,0.0
30,1,1,0,-0.5
34,1,1,0,-0.5
35,1,1,0,-0.5
38,1,1,0,-0.5
39,1,1,0,-0.5
40,1,1,0,-0.5
43,1,1,0,-0.5
46,1,1,0,-0.5
47,1,1,0,-0.5
48,1,1,0,-0.5
51,0,0,0,-0.5
58,1,0,0,-0.5
60,1,0,0,-0.5
63,1,0,0,-0.5
64,1,0,0,-0.5
66,1,0,0,-0.5
67,1,0,0,-0.5
68,1,0,0,-0.5
72,1,0,0,0.0
75,1,0,0,-0.5
77,0,0,0,-0.5
79,0,0,0,-0.5
81,0,0,0,-0.5
83,0,0,0,-0.5
84,0,0,0,-0.5
86,0,0,0,-0.5
87,0,0,0,-0.5
89,0,0,0,-0.5
92,0,0,0,-0.5
95,0,0,0,-0.5
96,0,0,0,0.0
97,0,0,0,0.0
98,0,0,0,0.0
99,0,0,0,0.0
100,0,0,0,0.0
101,0,0,0,0.0
103,0,0,0,0.0
106,0,0,0,0.0
107,0,0,0,0.0
108,0,0,0,0.0
109,0,0,0,0.0
111,1,1,0,0.0
113,1,1,0,0.0
129,0,0,0,-0.5
135,1,1,0,0.0
137,0,0,0,-0.5
138,0,0,0,-0.5
142,0,0,0,-0.5
145,0,0,0,-0.5
148,0,0,0,-0.5
152,0,0,0,-0.5
153,0,0,0,-0.5
155,0,0,0,-0.5
157,0,0,0,-0.5
158,0,0,0,-0.5
161,0,1,0,0.0
165,0,0,0,-0.5
169,0,0,0,-0.5
174,0,0,0,-0.5
178,0,0,0,-0.5
183,0,0,0,-0.5
186,0,0,0,-0.5
187,1,1,0,0.0
198,1,1,0,-0.5
200,1,1,0,-0.5
202,1,1,0,-0.5
205,1,1,0,-0.5
207,1,1,0,-0.5
212,0,0,0,-0.5
219,0,0,0,-0.5
221,0,0,0,-0.5
223,0,0,0,-0.5
226,0,0,0,-0.5
233,0,0,0,-0.5
238,0,0,0,-0.5
239,0,0,0,-0.5
240,0,0,0,-0.5
245,0,0,0,-0.5
246,0,0,0,-0.5
249,1,1,0,0.0
254,0,0,0,0.0
260,0,0,0,0.0
263,0,0,0,0.0
266,1,1,1,0.0
269,1,0,0,-0.5
270,1,0,0,-0.5
272,1,0,0,-0.5
273,1,0,0,0.0
275,1,0,0,-0.5
276,1,0,0,-0.5
297,0,0,0,-0.5
299,0,0,0,-0.5
300,0,0,0,-0.5
303,0,0,0,-0.5
309,0,0,0,-0.5
