PMID,Diagnostic criteria,Prevalence or Incidence,"Type (Any, early to intermediate, late-wet, late-dry)",Sex,Age,End hypothesized 95,age_start,age_end,Region,Nation,Ethnicity,First authors,Period,year_start,year_end,Sample size,Patients with AMD,proportion,standard error,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
2786408.0,Wisconsin Age-Related Maculopathy Grading System,Prevalence,Intermediate,,30-79,30-79,30.0,79.0, North America,US,NR,"Bressler NM et al, 1989",1985,1985.0,1985.0,755.0,24.0,0.031788079470198675,0.0063847497810498345,,,,
,,,Intermediate,,30-49,30-49,30.0,49.0, North America,US,NR,"Bressler NM et al, 1989",1985,1985.0,1985.0,340.0,10.0,0.029411764705882353,0.009163019153540041,,,,
,,,Intermediate,,50-59,50-59,50.0,59.0, North America,US,NR,"Bressler NM et al, 1989",1985,1985.0,1985.0,158.0,2.0,0.012658227848101266,0.008893888214310475,,,,
,,,Intermediate,,60-69,60-69,60.0,69.0, North America,US,NR,"Bressler NM et al, 1989",1985,1985.0,1985.0,163.0,5.0,0.03067484662576687,0.013506167736781026,,,,
,,,Intermediate,,70-79,70-79,70.0,79.0, North America,US,NR,"Bressler NM et al, 1989",1985,1985.0,1985.0,94.0,7.0,0.07446808510638298,0.02707801758335306,,,,
,,,Late-dry,,30-79,30-79,30.0,79.0, North America,US,NR,"Bressler NM et al, 1989",1985,1985.0,1985.0,755.0,3.0,0.003973509933774834,0.0022895446646943795,,,,
,,,Late-dry,,30-49,30-49,30.0,49.0, North America,US,NR,"Bressler NM et al, 1989",1985,1985.0,1985.0,340.0,0.0,0.0,0.0,,,,
,,,Late-dry,,50-59,50-59,50.0,59.0, North America,US,NR,"Bressler NM et al, 1989",1985,1985.0,1985.0,158.0,0.0,0.0,0.0,,,,
,,,Late-dry,,60-69,60-69,60.0,69.0, North America,US,NR,"Bressler NM et al, 1989",1985,1985.0,1985.0,163.0,0.0,0.0,0.0,,,,
,,,Late-dry,,70-79,70-79,70.0,79.0, North America,US,NR,"Bressler NM et al, 1989",1985,1985.0,1985.0,94.0,3.0,0.031914893617021274,0.018129655141723582,,,,
1630784.0,Wisconsin Age-Related Maculopathy Grading System,Prevalence,Any,,43+,43-95,43.0,95.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,4767.0,1175.0,0.24648625970211874,0.006241936833317537,,,,
,,,Any,,43-54,43-54,43.0,54.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,1504.0,176.0,0.11702127659574468,0.008288646482893467,,,,
,,,Any,,55-64,55-64,55.0,64.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,1301.0,236.0,0.1813989239046887,0.010683532131711308,,,,
,,,Any,,65-74,65-74,65.0,74.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,1249.0,382.0,0.3058446757405925,0.013037597601182041,,,,
,,,Any,,75+,75-95,75.0,95.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,713.0,383.0,0.5371669004207573,0.018673342464920976,,,,
,,,Early ,,43+,43-95,43.0,95.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,4767.0,607.0,0.12733375288441368,0.00482806694115247,,,,
,,,Early ,,43-54,43-54,43.0,54.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,1504.0,127.0,0.08444148936170212,0.0071696354878967375,,,,
,,,Early ,,55-64,55-64,55.0,64.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,1301.0,132.0,0.10146041506533436,0.008371018010767308,,,,
,,,Early ,,65-74,65-74,65.0,74.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,1249.0,211.0,0.1689351481184948,0.010602206209093544,,,,
,,,Early ,,75+,75-95,75.0,95.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,713.0,137.0,0.19214586255259467,0.014754932617430026,,,,
,,,Intermediate,,43+,43-95,43.0,95.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,4767.0,492.0,0.10320956576463185,0.004406389493190925,,,,
,,,Intermediate,,43-54,43-54,43.0,54.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,1504.0,47.0,0.03125,0.004486492545301124,,,,
,,,Intermediate,,55-64,55-64,55.0,64.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,1301.0,96.0,0.07378939277478862,0.007247916729431231,,,,
,,,Intermediate,,65-74,65-74,65.0,74.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,1249.0,154.0,0.1232986389111289,0.009303015883392595,,,,
,,,Intermediate,,75+,75-95,75.0,95.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,713.0,195.0,0.27349228611500703,0.01669351880812391,,,,
,,,Late,,43+,43-95,43.0,95.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,4771.0,76.0,0.015929574512680778,0.0018126354512387058,,,,
,,,Late,Male,43+,43-95,43.0,95.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,2122.0,25.0,0.0117813383600377,0.002342346554821886,,,,
,,,Late,Female,43+,43-95,43.0,95.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,2649.0,50.0,0.01887504718761797,0.00264402285250648,,,,
,,,Late,,43-54,43-54,43.0,54.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,1504.0,2.0,0.0013297872340425532,0.0009396761622301152,,,,
,,,Late,Male,43-54,43-54,43.0,54.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,715.0,0.0,0.0,0.0,,,,
,,,Late,Female,43-54,43-54,43.0,54.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,789.0,1.0,0.0012674271229404308,0.0012666236825281906,,,,
,,,Late,,55-64,55-64,55.0,64.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,1301.0,8.0,0.006149116064565719,0.0021673463118531905,,,,
,,,Late,Male,55-64,55-64,55.0,64.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,614.0,3.0,0.004885993485342019,0.0028140296934539293,,,,
,,,Late,Female,55-64,55-64,55.0,64.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,687.0,5.0,0.00727802037845706,0.0032429636736164137,,,,
,,,Late,,65-74,65-74,65.0,74.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,1249.0,17.0,0.013610888710968775,0.003278582806602407,,,,
,,,Late,Male,65-74,65-74,65.0,74.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,527.0,8.0,0.015180265654648957,0.005326142105973443,,,,
,,,Late,Female,65-74,65-74,65.0,74.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,722.0,8.0,0.0110803324099723,0.0038957250957537214,,,,
