PMID,Diagnostic criteria,Prevalence or Incidence,"Type (Any, early to intermediate, late-wet, late-dry)",Sex,Age,End hypothesized 95,age_start,age_end,Region,Nation,Ethnicity,First authors,Period,year_start,year_end,Sample size,Patients with AMD,proportion,standard error,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
2786408.0,Wisconsin Age-Related Maculopathy Grading System,Prevalence,Intermediate,,30-79,30-79,30.0,79.0, North America,US,NR,"Bressler NM et al, 1989",1985,1985.0,1985.0,755.0,24.0,0.031788079470198675,0.0063847497810498345,,,,
2786408.0,,,Intermediate,,30-49,30-49,30.0,49.0, North America,US,NR,"Bressler NM et al, 1989",1985,1985.0,1985.0,340.0,10.0,0.029411764705882356,0.009163019153540041,,,,
2786408.0,,,Intermediate,,50-59,50-59,50.0,59.0, North America,US,NR,"Bressler NM et al, 1989",1985,1985.0,1985.0,158.0,2.0,0.012658227848101266,0.008893888214310475,,,,
2786408.0,,,Intermediate,,60-69,60-69,60.0,69.0, North America,US,NR,"Bressler NM et al, 1989",1985,1985.0,1985.0,163.0,5.0,0.030674846625766868,0.013506167736781026,,,,
2786408.0,,,Intermediate,,70-79,70-79,70.0,79.0, North America,US,NR,"Bressler NM et al, 1989",1985,1985.0,1985.0,94.0,7.0,0.07446808510638298,0.02707801758335306,,,,
2786408.0,,,Late-dry,,30-79,30-79,30.0,79.0, North America,US,NR,"Bressler NM et al, 1989",1985,1985.0,1985.0,755.0,3.0,0.003973509933774834,0.0022895446646943795,,,,
2786408.0,,,Late-dry,,30-49,30-49,30.0,49.0, North America,US,NR,"Bressler NM et al, 1989",1985,1985.0,1985.0,340.0,0.0,0.0,0.0,,,,
2786408.0,,,Late-dry,,50-59,50-59,50.0,59.0, North America,US,NR,"Bressler NM et al, 1989",1985,1985.0,1985.0,158.0,0.0,0.0,0.0,,,,
2786408.0,,,Late-dry,,60-69,60-69,60.0,69.0, North America,US,NR,"Bressler NM et al, 1989",1985,1985.0,1985.0,163.0,0.0,0.0,0.0,,,,
2786408.0,,,Late-dry,,70-79,70-79,70.0,79.0, North America,US,NR,"Bressler NM et al, 1989",1985,1985.0,1985.0,94.0,3.0,0.031914893617021274,0.018129655141723586,,,,
1630784.0,Wisconsin Age-Related Maculopathy Grading System,Prevalence,Any,,43+,43-95,43.0,95.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,4767.0,1175.0,0.24648625970211874,0.0062419368333175365,,,,
1630784.0,,,Any,,43-54,43-54,43.0,54.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,1504.0,176.0,0.11702127659574467,0.008288646482893467,,,,
1630784.0,,,Any,,55-64,55-64,55.0,64.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,1301.0,236.0,0.1813989239046887,0.010683532131711308,,,,
1630784.0,,,Any,,65-74,65-74,65.0,74.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,1249.0,382.0,0.3058446757405925,0.013037597601182041,,,,
1630784.0,,,Any,,75+,75-95,75.0,95.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,713.0,383.0,0.5371669004207573,0.018673342464920976,,,,
1630784.0,,,Early ,,43+,43-95,43.0,95.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,4767.0,607.0,0.12733375288441368,0.00482806694115247,,,,
1630784.0,,,Early ,,43-54,43-54,43.0,54.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,1504.0,127.0,0.08444148936170212,0.0071696354878967375,,,,
1630784.0,,,Early ,,55-64,55-64,55.0,64.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,1301.0,132.0,0.10146041506533436,0.008371018010767308,,,,
1630784.0,,,Early ,,65-74,65-74,65.0,74.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,1249.0,211.0,0.1689351481184948,0.010602206209093544,,,,
1630784.0,,,Early ,,75+,75-95,75.0,95.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,713.0,137.0,0.19214586255259467,0.014754932617430026,,,,
1630784.0,,,Intermediate,,43+,43-95,43.0,95.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,4767.0,492.0,0.10320956576463183,0.004406389493190925,,,,
1630784.0,,,Intermediate,,43-54,43-54,43.0,54.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,1504.0,47.0,0.03125,0.0044864925453011245,,,,
1630784.0,,,Intermediate,,55-64,55-64,55.0,64.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,1301.0,96.0,0.07378939277478863,0.007247916729431232,,,,
1630784.0,,,Intermediate,,65-74,65-74,65.0,74.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,1249.0,154.0,0.1232986389111289,0.009303015883392595,,,,
1630784.0,,,Intermediate,,75+,75-95,75.0,95.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,713.0,195.0,0.27349228611500703,0.01669351880812391,,,,
1630784.0,,,Late,,43+,43-95,43.0,95.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,4771.0,76.0,0.015929574512680778,0.0018126354512387054,,,,
1630784.0,,,Late,Male,43+,43-95,43.0,95.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,2122.0,25.0,0.0117813383600377,0.002342346554821886,,,,
1630784.0,,,Late,Female,43+,43-95,43.0,95.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,2649.0,50.0,0.01887504718761797,0.00264402285250648,,,,
1630784.0,,,Late,,43-54,43-54,43.0,54.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,1504.0,2.0,0.0013297872340425534,0.0009396761622301153,,,,
1630784.0,,,Late,Male,43-54,43-54,43.0,54.0, North America,US,NR,"Klein R, 1992",1988-1990,1988.0,1990.0,715.0,0.0,0.0,0.0,,,,
