index,sex,area,effective_sample_size,data_type,value,standard_error,age_start,age_end,year_start,year_end
5,,US,755.0,p,0.003973509933774834,0.0022895446646943795,30,79,1985,1985
6,,US,340.0,p,0.0,0.0,30,49,1985,1985
7,,US,158.0,p,0.0,0.0,50,59,1985,1985
8,,US,163.0,p,0.0,0.0,60,69,1985,1985
9,,US,94.0,p,0.031914893617021274,0.018129655141723586,70,79,1985,1985
25,,US,4771.0,p,0.015929574512680778,0.001812635451238705,43,95,1988,1990
26,male,US,2122.0,p,0.0117813383600377,0.002342346554821886,43,95,1988,1990
27,female,US,2649.0,p,0.01887504718761797,0.00264402285250648,43,95,1988,1990
28,,US,1504.0,p,0.0013297872340425536,0.0009396761622301153,43,54,1988,1990
29,male,US,715.0,p,0.0,0.0,43,54,1988,1990
30,female,US,789.0,p,0.0012674271229404304,0.0012666236825281904,43,54,1988,1990
31,,US,1301.0,p,0.006149116064565719,0.0021673463118531905,55,64,1988,1990
32,male,US,614.0,p,0.004885993485342019,0.002814029693453929,55,64,1988,1990
33,female,US,687.0,p,0.00727802037845706,0.0032429636736164137,55,64,1988,1990
34,,US,1249.0,p,0.013610888710968777,0.003278582806602407,65,74,1988,1990
35,male,US,527.0,p,0.015180265654648957,0.0053261421059734426,65,74,1988,1990
36,female,US,722.0,p,0.0110803324099723,0.003895725095753722,65,74,1988,1990
37,,US,717.0,p,0.07112970711297073,0.009599386303532862,75,95,1988,1990
38,male,US,266.0,p,0.05639097744360904,0.014143602276754685,75,95,1988,1990
39,female,US,451.0,p,0.07760532150776052,0.012598413969569434,75,95,1988,1990
55,,US,4771.0,p,0.015929574512680778,0.001812635451238705,43,95,1988,1990
56,male,US,2122.0,p,0.0117813383600377,0.002342346554821886,43,95,1988,1990
57,female,US,2649.0,p,0.01887504718761797,0.00264402285250648,43,95,1988,1990
58,,US,1504.0,p,0.0013297872340425536,0.0009396761622301153,43,54,1988,1990
59,male,US,715.0,p,0.0,0.0,43,54,1988,1990
60,female,US,789.0,p,0.0012674271229404304,0.0012666236825281904,43,54,1988,1990
61,,US,1301.0,p,0.006149116064565719,0.0021673463118531905,55,64,1988,1990
62,male,US,614.0,p,0.004885993485342019,0.002814029693453929,55,64,1988,1990
63,female,US,687.0,p,0.00727802037845706,0.0032429636736164137,55,64,1988,1990
64,,US,1249.0,p,0.013610888710968777,0.003278582806602407,65,74,1988,1990
65,male,US,527.0,p,0.015180265654648957,0.0053261421059734426,65,74,1988,1990
66,female,US,722.0,p,0.0110803324099723,0.003895725095753722,65,74,1988,1990
67,,US,717.0,p,0.07112970711297073,0.009599386303532862,75,95,1988,1990
68,male,US,266.0,p,0.05639097744360904,0.014143602276754685,75,95,1988,1990
69,female,US,451.0,p,0.07760532150776052,0.012598413969569434,75,95,1988,1990
106,,US,800.0,p,0.0,0.0,40,95,1988,1990
107,male,US,516.0,p,0.0,0.0,40,95,1988,1990
108,female,US,284.0,p,0.0,0.0,40,95,1988,1990
109,,US,119.0,p,0.0,0.0,40,49,1988,1990
110,male,US,78.0,p,0.0,0.0,40,49,1988,1990
111,female,US,41.0,p,0.0,0.0,40,49,1988,1990
112,,US,128.0,p,0.0,0.0,50,59,1988,1990
113,male,US,85.0,p,0.0,0.0,50,59,1988,1990
114,female,US,43.0,p,0.0,0.0,50,59,1988,1990
115,,US,206.0,p,0.0,0.0,60,69,1988,1990
116,male,US,148.0,p,0.0,0.0,60,69,1988,1990
117,female,US,58.0,p,0.0,0.0,60,69,1988,1990
118,,US,212.0,p,0.02358490566037736,0.010422367520976415,70,79,1988,1990
119,male,US,117.0,p,0.017094017094017096,0.01198353987682868,70,79,1988,1990
120,female,US,95.0,p,0.03157894736842105,0.017941928973195586,70,79,1988,1990
121,,US,135.0,p,0.05185185185185185,0.019083294480578685,80,95,1988,1990
122,male,US,88.0,p,0.03409090909090909,0.01934399102383678,80,95,1988,1990
123,female,US,47.0,p,0.0851063829787234,0.04070215806788415,80,95,1988,1990
160,,US,800.0,p,0.0,0.0,40,95,1988,1990
161,male,US,516.0,p,0.0,0.0,40,95,1988,1990
162,female,US,284.0,p,0.0,0.0,40,95,1988,1990
163,,US,119.0,p,0.0,0.0,40,49,1988,1990
164,male,US,78.0,p,0.0,0.0,40,49,1988,1990
165,female,US,41.0,p,0.0,0.0,40,49,1988,1990
166,,US,128.0,p,0.0,0.0,50,59,1988,1990
167,male,US,85.0,p,0.0,0.0,50,59,1988,1990
168,female,US,43.0,p,0.0,0.0,50,59,1988,1990
169,,US,206.0,p,0.0,0.0,60,69,1988,1990
170,male,US,148.0,p,0.0,0.0,60,69,1988,1990
171,female,US,58.0,p,0.0,0.0,60,69,1988,1990
172,,US,212.0,p,0.02358490566037736,0.010422367520976415,70,79,1988,1990
173,male,US,117.0,p,0.017094017094017096,0.01198353987682868,70,79,1988,1990
174,female,US,95.0,p,0.03157894736842105,0.017941928973195586,70,79,1988,1990
175,,US,135.0,p,0.05185185185185185,0.019083294480578685,80,95,1988,1990
176,male,US,88.0,p,0.03409090909090909,0.01934399102383678,80,95,1988,1990
