index,sex,area,effective_sample_size,data_type,value,standard_error,age_start,age_end,year_start,year_end
5,,USA,755.0,p,0.003973509933774834,0.0022895446646943795,30,79,1985,1985
6,,USA,340.0,p,0.0,0.0,30,49,1985,1985
7,,USA,158.0,p,0.0,0.0,50,59,1985,1985
8,,USA,163.0,p,0.0,0.0,60,69,1985,1985
9,,USA,94.0,p,0.031914893617021274,0.018129655141723586,70,79,1985,1985
25,,USA,4771.0,p,0.015929574512680778,0.001812635451238705,43,95,1988,1990
26,male,USA,2122.0,p,0.0117813383600377,0.002342346554821886,43,95,1988,1990
27,female,USA,2649.0,p,0.01887504718761797,0.00264402285250648,43,95,1988,1990
28,,USA,1504.0,p,0.0013297872340425536,0.0009396761622301153,43,54,1988,1990
29,male,USA,715.0,p,0.0,0.0,43,54,1988,1990
30,female,USA,789.0,p,0.0012674271229404304,0.0012666236825281904,43,54,1988,1990
31,,USA,1301.0,p,0.006149116064565719,0.0021673463118531905,55,64,1988,1990
32,male,USA,614.0,p,0.004885993485342019,0.002814029693453929,55,64,1988,1990
33,female,USA,687.0,p,0.00727802037845706,0.0032429636736164137,55,64,1988,1990
34,,USA,1249.0,p,0.013610888710968777,0.003278582806602407,65,74,1988,1990
35,male,USA,527.0,p,0.015180265654648957,0.0053261421059734426,65,74,1988,1990
36,female,USA,722.0,p,0.0110803324099723,0.003895725095753722,65,74,1988,1990
37,,USA,717.0,p,0.07112970711297073,0.009599386303532862,75,95,1988,1990
38,male,USA,266.0,p,0.05639097744360904,0.014143602276754685,75,95,1988,1990
39,female,USA,451.0,p,0.07760532150776052,0.012598413969569434,75,95,1988,1990
55,,USA,4771.0,p,0.015929574512680778,0.001812635451238705,43,95,1988,1990
56,male,USA,2122.0,p,0.0117813383600377,0.002342346554821886,43,95,1988,1990
57,female,USA,2649.0,p,0.01887504718761797,0.00264402285250648,43,95,1988,1990
58,,USA,1504.0,p,0.0013297872340425536,0.0009396761622301153,43,54,1988,1990
59,male,USA,715.0,p,0.0,0.0,43,54,1988,1990
60,female,USA,789.0,p,0.0012674271229404304,0.0012666236825281904,43,54,1988,1990
61,,USA,1301.0,p,0.006149116064565719,0.0021673463118531905,55,64,1988,1990
62,male,USA,614.0,p,0.004885993485342019,0.002814029693453929,55,64,1988,1990
63,female,USA,687.0,p,0.00727802037845706,0.0032429636736164137,55,64,1988,1990
64,,USA,1249.0,p,0.013610888710968777,0.003278582806602407,65,74,1988,1990
65,male,USA,527.0,p,0.015180265654648957,0.0053261421059734426,65,74,1988,1990
66,female,USA,722.0,p,0.0110803324099723,0.003895725095753722,65,74,1988,1990
67,,USA,717.0,p,0.07112970711297073,0.009599386303532862,75,95,1988,1990
68,male,USA,266.0,p,0.05639097744360904,0.014143602276754685,75,95,1988,1990
69,female,USA,451.0,p,0.07760532150776052,0.012598413969569434,75,95,1988,1990
